Producto,Precio Venta,Margen Bruto,Margen Bruto (%)
Agua natural 600,21.0,7.0,33.33
Bagel,85.0,73.0,85.88
Berry Power Shake,60.0,31.46,52.43
Berry Titan Shake,70.0,47.01,67.16
Big Chow,90.0,62.22,69.14
Blue Thunder Chow,50.0,27.73,55.46
Boneless 12 pzas,160.0,80.31,50.19
Boneless 24 piezas,240.0,84.61,35.25
Boneless 6 pzas,85.0,42.91,50.48
Choco Chow Power,60.0,41.25,68.76
Choco Flan,480.0,176.7,36.81
Choco Flan (Rebanada),60.0,11.78,19.64
Choco banana,15.0,4.34,28.93
Choco fresa,20.0,6.84,34.2
Chow Chow Mood,90.0,59.21,65.79
Chow Power Shot,50.0,33.55,67.1
Cookie Power Shake,70.0,43.02,61.46
Cupcakes,13.0,9.14,70.28
Flan Napolitano,400.0,238.07,59.52
Flan Napolitano (Rebanada),55.0,38.29,69.62
Frappe Gansito,80.0,25.78,32.23
Frappe Mazapan,75.0,37.06,49.41
Frappe clásico,65.0,31.5,48.47
Frappe kinder delice,95.0,33.26,35.01
Frappe oreo,75.0,27.18,36.25
Fresas con crema,50.0,11.26,22.53
Fresas con crema + Gansito,100.0,42.06,42.06
Fresas con crema + Kinder,100.0,35.31,35.31
Golden Energy Flow,60.0,38.91,64.86
Malteada de chocolate,65.0,22.78,35.05
Malteada de fresa,65.0,22.78,35.05
Malteada de vainilla,65.0,22.78,35.05
Manzana Loca,60.0,25.42,42.37
Mega Peach,90.0,51.1,56.78
Mini Hotcakes Clásico (8pzas),40.0,26.64,66.59
Mini Hotcakes Delicioso (12pzas),65.0,49.05,75.46
Mini Hotcakes Premium (18pzas),90.0,71.76,79.74
Mini Hotcakes Super Especial  (15pzas),115.0,97.55,84.82
Mini Hotcakes Vasito  (8pzas),50.0,30.39,60.78
Pack Boneless 12 pzas,235.0,120.21,51.15
Pack Boneless 24 piezas,420.0,218.51,52.03
Pack Boneless 6 pzas,85.0,31.91,37.54
Papas Locas,55.0,22.51,40.92
Papas Locas c/cueritos,60.0,26.36,43.93
Psychotic Punch,60.0,38.0,63.33
Sandía Rush,50.0,28.97,57.94
Tostielotes,60.0,21.96,36.6
Venom Inferno,60.0,37.35,62.25
Waffle Chocomania,80.0,41.55,51.94
Waffle Clasico Dulce,55.0,21.55,39.19
Waffle Frutal Encanto,70.0,31.55,45.08
Waffle Tentacion,95.0,49.05,51.63
Coca 355ml,20.00,6.50,32.50
