Ingrediente,Proveedor,Unidad de Compra, Costo de Compra ,Cantidad por Unidad de Compra,Unidad Receta,Costo por Unidad Receta
Aceite,Walmart,nan,58.00,1000.0,Mililitro,0.0600
Agua,Dispensador,nan,11.00,20000.0,Mililitro,0.0006
Agua Mineral,Garis,nan,20.00,1000.0,Mililitro,0.0200
Agua botella 600,Walmart,nan,12.00,1.0,Botella,12.0000
Agua sanitaria,x,nan,1.00,1.0,Unidad,1.0000
Almeja 7x7,Pacifico Polietilenos,nan,320.00,200.0,Pieza,1.6000
Almeja 8x8,Pacifico Polietilenos,nan,350.00,200.0,Pieza,1.7500
Amino BCAA 30 serv,Luis Alvarado,nan,260.00,30.0,Servicio,8.6700
Amino Energy 65 serv,Luis Alvarado,nan,600.00,65.0,Servicio,9.2300
Arandano deshidratado,Garis,nan,100.00,1000.0,Gramo,0.1000
Avena,Garis,nan,20.00,1000.0,Gramo,0.0200
Avena quaker,Tienda,nan,40.00,400.0,Gramo,0.1000
Azucar,Garis,nan,24.36,1000.0,Gramo,0.0200
Bagel,Cotsco,nan,100.00,10.0,Pieza,10.0000
Bolsa,Pacifico Polietilenos,nan,50.00,100.0,Pieza,0.5000
Boneless,Market,nan,120.00,1000.0,Gramo,0.1200
Cacahuate Enchilado,Garis,nan,58.00,800.0,Gramo,0.0700
Cacahuate Japones,Garis,nan,53.00,800.0,Gramo,0.0663
Cacahuate Japones,Garis,nan,53.00,800.0,Gramo,0.0663
Cacahuate Queso,Garis,nan,58.00,800.0,Gramo,0.0700
Cafe,Cotsco,nan,346.84,700.0,Gramo,0.5000
Caja harina pastel betty,Walmart,nan,66.12,1.0,piezas,66.1200
Cajita fresas,Mercado,nan,50.00,500.0,Gramo,0.1000
Capacillos,Walmart,nan,25.52,150.0,Pieza,0.1700
Carnation Clavel Leche Evaporada,Cotsco,nan,265.64,2719.2,Mililitro,0.1000
Chile en vinagre,Cotsco,nan,172.84,1520.0,Gramo,0.1100
Chile morron,Mercado,nan,0.00,0.0,nan,0.0000
Chocolate,Almedrita,nan,100.00,1000.0,Gramo,0.1000
Chocolate confitado (CHOCORETAS),Garis,nan,114.84,900.0,Gramo,0.1300
Clight Piña,Walmart,nan,4.00,1000.0,Mililitro,0.0040
Coca Cola 355,Walmart,Paquete,148.00,12.0,Pieza,12.3333
Coca Cola 355ml,Walmart,nan,138.00,12.0,pieza,11.5000
Coca Cola 600ml,Central,nan,340.00,24.0,pieza,14.1000
Comision vendedor,x,nan,5.00,1.0,nan,5.0000
Concentrado limon,Walmart,nan,81.00,1000.0,Mililitro,0.0800
Congelador,x,nan,1.00,1.0,piezas,1.0000
Contenedor Cristal,Garis,nan,400.00,125.0,Pieza,3.2000
Contenedor Cristal Cuadrado,El Reventon,nan,2.20,1.0,Pieza,2.2000
Contenedor Cristal Rectangular,Penjamo,nan,6.00,1.0,Pieza,6.0000
Contenedor Cristal Rectangular,El Reventon,nan,1410.00,250.0,Pieza,5.6400
Contenedor Rebanada,Gemsa,nan,442.50,250.0,Pieza,1.7700
Contenedor Rebanada,El Reventon,nan,440.00,250.0,Pieza,1.7600
Contenedor de papel 16oz,bio em,nan,1450.00,500.0,Pieza,2.9000
Contenedor de papel 8oz,bio em,nan,980.20,500.0,Pieza,1.9600
Crema batida,Cotsco,nan,320.16,1275.0,Mililitro,0.2500
Crema de cacahuate,Walmart,nan,92.00,452.0,Gramo,0.2000
Crema natural,Sams,nan,264.48,4000.0,Mililitro,0.0700
Cueritos,Garis,nan,27.80,1200.0,Gramo,0.0230
Domo Pay,Gemsa,nan,16.50,1.0,Pieza,16.5000
Electricidad,Cotsco,nan,100.00,10.0,Pieza,10.0000
Elote,Mercado,nan,10.00,1.0,Pieza,10.0000
Especia mck canela molida,Garis,nan,47.56,63.0,Gramo,0.7500
Etiqueta BONBONPEACH,Morado,nan,348.00,120.0,Pieza,2.9000
Fajilla vaso cafe,Gemsa,nan,50.00,100.0,Pieza,0.5000
Forritos,Garis,nan,72.00,5.0,Pieza,14.4000
