Ingrediente,Agua natural 600,Bagel,Berry Power Shake,Berry Titan Shake,Big Chow,Blue Thunder Chow,Boneless 12 pzas,Boneless 24 piezas,Boneless 6 pzas,Choco Chow Power,Choco Flan,Choco Flan (Rebanada),Choco banana,Choco fresa,Chow Chow Mood,Chow Power Shot,Coca 355ml,Cookie Power Shake,Cupcakes,Flan Napolitano,Flan Napolitano (Rebanada),Frappe Gansito,Frappe Mazapan,Frappe clásico,Frappe kinder delice,Frappe oreo,Fresas con crema,Fresas con crema + Gansito,Fresas con crema + Kinder,Golden Energy Flow,Malteada de chocolate,Malteada de fresa,Malteada de vainilla,Manzana Loca,Mega Peach,Mini Hotcakes Clásico (8pzas),Mini Hotcakes Delicioso (12pzas),Mini Hotcakes Premium (18pzas),Mini Hotcakes Super Especial  (15pzas),Mini Hotcakes Vasito  (8pzas),Pack Boneless 12 pzas,Pack Boneless 24 piezas,Pack Boneless 6 pzas,Papas Locas,Papas Locas c/cueritos,Psychotic Punch,Sandía Rush,Tostielotes,Venom Inferno,Waffle Chocomania,Waffle Clasico Dulce,Waffle Frutal Encanto,Waffle Tentacion
Aceite,,,,,,,,,,,1.0,0.08,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agua,,,,,,0.2,,,,,,,,,0.2,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,,0.2,,,,
Agua botella 600,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agua sanitaria,,,0.5,0.5,0.5,0.5,0.5,1.0,0.5,,,,,,0.5,0.5,,0.5,,,,0.5,0.5,0.5,0.5,0.5,,,,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,,,0.5,0.5,,0.5,0.5,0.5,0.5,0.5
Almeja 7x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
Almeja 8x8,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0
Amino BCAA 30 serv,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Amino Energy 65 serv,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Arandano deshidratado,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,
Avena,,,,10.0,50.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,30.0,,,,,10.0,9.2,13.8,20.7,17.25,9.2,,,,,,,,,,38.5,38.5,38.5,38.5
